User-ID,ISBN,Book-Rating,Book-Title
8,887841740,5,The Middle Stories
8,74322678,5,Where You'll Find Me: And Other Stories
8,1881320189,7,Goodbye to the Buttermilk Sky
8,2005018,5,Clara Callan
8,1567407781,6,The Witchfinder (Amos Walker Mystery Series)
8,1552041778,5,Jane Doe
8,1575663937,6,More Cunning Than Man: A Social History of Rats and Man
9,452264464,6,Beloved (Plume Contemporary Fiction)
12,1879384493,10,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself
14,61076031,5,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)
14,689821166,6,Flood : Mississippi 1927
14,439095026,5,Tell Me This Isn't Happening
16,345402871,9,Airframe
17,891076182,3,Prophet
17,425099148,7,Death in the Clouds
17,553264990,5,Bant/Spec.Last of the Breed
17,891075275,6,Piercing the Darkness
19,375759778,7,Prague : A Novel
22,3404921038,7,Wie Barney es sieht.
26,449005615,9,Seabiscuit: An American Legend
26,446310786,10,To Kill a Mockingbird
32,60168013,8,Pigs in Heaven
39,671888587,7,I'll Be Seeing You
39,553582909,8,Icebound
42,553582747,7,From the Corner of His Eye
44,440223571,8,This Year It Will Be Different: And Other Stories
51,440225701,9,The Street Lawyer
53,245542957,6,Pacific Northwest
53,380715899,9,A Soldier of the Great War
53,156047624,10,All the King's Men
53,60914068,3,"Love, Medicine and Miracles"
56,671623249,7,LONESOME DOVE
56,679865691,9,Haveli (Laurel Leaf Books)
64,2070423204,7,Lieux dits
67,394743741,7,The yawning heights
69,1853260053,8,Tess of the D'Urbervilles (Wordsworth Classics)
70,1414035004,10,The Adventures of Drew and Ellie: The Magical Dress
73,60938412,5,The Accidental Virgin
75,1558531025,5,Life's Little Instruction Book (Life's Little Instruction Books (Paperback))
78,394895894,8,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)"
81,375410538,5,Anil's Ghost
82,966986105,10,Prescription for Terror
83,87113375,7,Modern Manners: An Etiquette Book for Rude People
85,340767936,5,Turning Thirty
86,60930365,4,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell"
87,71416331,8,Team Bush : Leadership Lessons from the Bush White House
87,375509038,8,The Right Man : The Surprise Presidency of George W. Bush
88,553062042,7,Daybreakers Louis Lamour Collection
91,316769487,9,The Catcher in the Rye
92,8445071777,10,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)"
92,8445071769,8,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))
92,8445071408,7,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))
97,671867156,7,Pretend You Don't See Her
99,553347594,9,McDonald's: Behind the Arches
99,451166892,3,The Pillars of the Earth
99,316748641,7,Pasquale's Nose: Idle Days in an Italian Town
99,312261594,8,Female Intelligence
99,385235941,6,"Prize Stories, 1987: The O'Henry Awards"
99,671621009,10,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!
99,312252617,8,Fast Women
99,446677450,10,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!"
102,8472238822,7,Tu Nombre Escrito En El Agua (La Sonrisa Vertical)
107,671864769,8,Relics (Star Trek: The Next Generation)
109,671521519,5,Bless The Beasts And Children : Bless The Beasts And Children
110,440222303,6,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)"
114,446612545,9,The Beach House
114,671027360,10,Angels &amp; Demons
114,553584383,9,Dead Aim
114,451208080,8,The Short Forever
114,446612618,8,A Kiss Remembered
114,446608653,9,The Alibi
114,312953453,7,Blood Oath
114,812575954,5,The Deal
125,679429220,10,Midnight in the Garden of Good and Evil: A Savannah Story
129,316735736,7,All He Ever Wanted: A Novel
133,345372700,10,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground"
141,840734530,10,"The Oneprince (The Redaemian Chronicles, Book 1)"
162,451205197,5,Lady in Green/Minor Indiscretions (Signet Regency Romance)
165,446612545,5,The Beach House
165,60976845,9,Little Altars Everywhere: A Novel
165,61099325,4,Coyote Waits (Joe Leaphorn/Jim Chee Novels)
169,446601640,7,Slow Waltz in Cedar Bend
176,1900850303,4,The Angelic Darkness
178,451410319,6,Hush
183,2070567842,8,Folio Junior: L'histoire De Monsieur Sommer
183,8401422825,9,Fahrenheit 451
183,8440630794,7,Cuentos del Planeta Tierra
183,847223973,9,Que Se Mueran Los Feos (Fabula)
183,8476409419,8,Estudios sobre el amor
185,380778556,10,Rebecca
