User-ID,ISBN,Book-Rating,Location,Age
2,0195153448,0,"stockton, california, usa",18.0
10,1841721522,0,"albacete, wisconsin, spain",26.0
10,8477024456,6,"albacete, wisconsin, spain",26.0
19,0375759778,7,"weston, ,",14.0
20,0425163091,0,"langhorne, pennsylvania, usa",19.0
36,067176537X,0,"montreal, quebec, canada",24.0
38,8807016354,0,"viterbo, lazio, italy",34.0
38,8887913056,0,"viterbo, lazio, italy",34.0
42,0553582747,7,"appleton, wisconsin, usa",17.0
44,0425182908,0,"black mountain, north carolina, usa",51.0
44,042518630X,0,"black mountain, north carolina, usa",51.0
44,0440223571,8,"black mountain, north carolina, usa",51.0
44,0812523873,0,"black mountain, north carolina, usa",51.0
44,0842342702,0,"black mountain, north carolina, usa",51.0
51,0440225701,9,"renton, washington, usa",34.0
56,0671623249,7,"cheyenne, wyoming, usa",24.0
56,0679810307,0,"cheyenne, wyoming, usa",24.0
56,0679865691,9,"cheyenne, wyoming, usa",24.0
64,2070423204,7,"lyon, rhone, france",32.0
67,0345260317,0,"framingham, massachusetts, usa",43.0
67,0394743741,7,"framingham, massachusetts, usa",43.0
67,042511774X,0,"framingham, massachusetts, usa",43.0
67,0804106304,0,"framingham, massachusetts, usa",43.0
70,1414035004,10,"rochester, new york, usa",44.0
75,0140067477,0,"long beach, california, usa",37.0
75,0345465083,0,"long beach, california, usa",37.0
75,0451625889,0,"long beach, california, usa",37.0
75,1558531025,5,"long beach, california, usa",37.0
78,0394895894,8,"oakland, california, usa",18.0
79,1569871213,0,"ottawa, ontario, canada",20.0
85,0340767936,5,"london, england, united kingdom",41.0
85,0743403843,0,"london, england, united kingdom",41.0
92,8445071408,7,"castellar del valles, barcelona, spain",20.0
92,8445071769,8,"castellar del valles, barcelona, spain",20.0
92,8445071777,10,"castellar del valles, barcelona, spain",20.0
99,0312252617,8,"franktown, colorado, usa",42.0
99,0312261594,8,"franktown, colorado, usa",42.0
99,0316748641,7,"franktown, colorado, usa",42.0
99,0316973742,0,"franktown, colorado, usa",42.0
99,0385235941,6,"franktown, colorado, usa",42.0
99,0446677450,10,"franktown, colorado, usa",42.0
99,0451166892,3,"franktown, colorado, usa",42.0
99,0553347594,9,"franktown, colorado, usa",42.0
99,0671621009,10,"franktown, colorado, usa",42.0
99,067976397X,0,"franktown, colorado, usa",42.0
99,0684822733,0,"franktown, colorado, usa",42.0
99,0786868716,0,"franktown, colorado, usa",42.0
100,0431111110,0,"madrid, n/a, spain",44.0
109,0671521519,5,"muncie, indiana, usa",20.0
114,0312953453,7,"ligonier, pennsylvania, usa",57.0
114,0446608653,9,"ligonier, pennsylvania, usa",57.0
114,0446612545,9,"ligonier, pennsylvania, usa",57.0
114,0446612618,8,"ligonier, pennsylvania, usa",57.0
114,0451208080,8,"ligonier, pennsylvania, usa",57.0
114,0553584383,9,"ligonier, pennsylvania, usa",57.0
114,0671027360,10,"ligonier, pennsylvania, usa",57.0
114,0812575954,5,"ligonier, pennsylvania, usa",57.0
125,0679429220,10,"lansing, michigan, usa",49.0
129,0316735736,7,"bloomington, minnesota, usa",47.0
132,0743439740,0,"silver spring, maryland, usa",38.0
133,0345372700,10,"jacksonville, florida, usa",45.0
133,0380619458,0,"jacksonville, florida, usa",45.0
133,0446325805,0,"jacksonville, florida, usa",45.0
139,0143034359,0,"baltimore, maryland, usa",35.0
139,0316778508,0,"baltimore, maryland, usa",35.0
139,0743249992,0,"baltimore, maryland, usa",35.0
144,0425184226,0,"cape girardeau, missouri, usa",62.0
160,8573022876,6,"almada, n/a, portugal",20.0
160,8573024771,8,"almada, n/a, portugal",20.0
160,9722322702,7,"almada, n/a, portugal",20.0
160,9724111989,0,"almada, n/a, portugal",20.0
160,9724119378,0,"almada, n/a, portugal",20.0
160,9724222500,0,"almada, n/a, portugal",20.0
160,9724227030,0,"almada, n/a, portugal",20.0
160,9727110843,8,"almada, n/a, portugal",20.0
160,9727114962,7,"almada, n/a, portugal",20.0
160,9728579225,8,"almada, n/a, portugal",20.0
165,0060929790,0,"olympia, washington, usa",62.0
165,0060976845,9,"olympia, washington, usa",62.0
165,0061099325,4,"olympia, washington, usa",62.0
165,0446612545,5,"olympia, washington, usa",62.0
165,0671004573,0,"olympia, washington, usa",62.0
176,0330484516,0,"london, london, united kingdom",34.0
176,038572179X,0,"london, london, united kingdom",34.0
176,0393020371,0,"london, london, united kingdom",34.0
176,1900850303,4,"london, london, united kingdom",34.0
176,1903019699,0,"london, london, united kingdom",34.0
178,0345425294,0,"rexford, new york, usa",28.0
178,0451410319,6,"rexford, new york, usa",28.0
178,0553583468,0,"rexford, new york, usa",28.0
182,9024503620,0,"buitenpost, fryslân, netherlands",36.0
182,9025444432,0,"buitenpost, fryslân, netherlands",36.0
182,9029066458,0,"buitenpost, fryslân, netherlands",36.0
182,9029517751,0,"buitenpost, fryslân, netherlands",36.0
182,9044303244,0,"buitenpost, fryslân, netherlands",36.0
182,904460021,0,"buitenpost, fryslân, netherlands",36.0
182,9044601695,3,"buitenpost, fryslân, netherlands",36.0
183,058608195X,0,"porto, porto, portugal",27.0
183,100940/86,9,"porto, porto, portugal",27.0
183,10622/86,0,"porto, porto, portugal",27.0
183,10745/85,0,"porto, porto, portugal",27.0
183,10756/85,0,"porto, porto, portugal",27.0
183,127420/98,8,"porto, porto, portugal",27.0
183,13440/86,7,"porto, porto, portugal",27.0
183,1351334340,0,"porto, porto, portugal",27.0
183,1351394403,8,"porto, porto, portugal",27.0
183,140274871,8,"porto, porto, portugal",27.0
183,15019/87,7,"porto, porto, portugal",27.0
183,16560/87,10,"porto, porto, portugal",27.0
183,16785/87,7,"porto, porto, portugal",27.0
183,18128/87,7,"porto, porto, portugal",27.0
183,18678/87,7,"porto, porto, portugal",27.0
183,194114/03,0,"porto, porto, portugal",27.0
183,19973/88,6,"porto, porto, portugal",27.0
183,20070/88,0,"porto, porto, portugal",27.0
183,203671/03,8,"porto, porto, portugal",27.0
183,2070567842,8,"porto, porto, portugal",27.0
183,225314696X,0,"porto, porto, portugal",27.0
183,23950/88,6,"porto, porto, portugal",27.0
183,24297/89,0,"porto, porto, portugal",27.0
183,24340/88,0,"porto, porto, portugal",27.0
183,30623/89,7,"porto, porto, portugal",27.0
183,350573385,0,"porto, porto, portugal",27.0
183,350583378,0,"porto, porto, portugal",27.0
183,350903808,0,"porto, porto, portugal",27.0
183,36388/90,8,"porto, porto, portugal",27.0
183,40052/90,7,"porto, porto, portugal",27.0
183,40614/2098,8,"porto, porto, portugal",27.0
183,40827/3218,0,"porto, porto, portugal",27.0
183,71837/93,8,"porto, porto, portugal",27.0
183,75666/95,8,"porto, porto, portugal",27.0
183,77556/94,7,"porto, porto, portugal",27.0
183,80651/94,7,"porto, porto, portugal",27.0
183,8401422825,9,"porto, porto, portugal",27.0
183,8420639133,0,"porto, porto, portugal",27.0
183,8433920081,0,"porto, porto, portugal",27.0
183,8440630794,7,"porto, porto, portugal",27.0
183,847223973X,9,"porto, porto, portugal",27.0
183,8476409419,8,"porto, porto, portugal",27.0
183,8497890663,10,"porto, porto, portugal",27.0
183,8531605717,0,"porto, porto, portugal",27.0
183,8585362693,9,"porto, porto, portugal",27.0
183,8585443464,9,"porto, porto, portugal",27.0
183,9714511081,9,"porto, porto, portugal",27.0
183,9721027855,0,"porto, porto, portugal",27.0
183,9721028800,7,"porto, porto, portugal",27.0
183,9721033561,7,"porto, porto, portugal",27.0
183,9721035130,8,"porto, porto, portugal",27.0
183,9722007149,0,"porto, porto, portugal",27.0
183,9722009184,0,"porto, porto, portugal",27.0
183,9722013831,6,"porto, porto, portugal",27.0
183,9722020242,9,"porto, porto, portugal",27.0
183,9722105507,8,"porto, porto, portugal",27.0
183,9722113747,9,"porto, porto, portugal",27.0
183,9722319914,8,"porto, porto, portugal",27.0
183,972233028,0,"porto, porto, portugal",27.0
183,9722330950,9,"porto, porto, portugal",27.0
183,9722902628,7,"porto, porto, portugal",27.0
183,9723302500,0,"porto, porto, portugal",27.0
183,9723317516,0,"porto, porto, portugal",27.0
183,972370403X,8,"porto, porto, portugal",27.0
183,9723706504,8,"porto, porto, portugal",27.0
183,9723816709,0,"porto, porto, portugal",27.0
183,9723817535,0,"porto, porto, portugal",27.0
183,9723818809,0,"porto, porto, portugal",27.0
183,9723819171,0,"porto, porto, portugal",27.0
183,9724114384,7,"porto, porto, portugal",27.0
183,9724128725,8,"porto, porto, portugal",27.0
183,9724129411,9,"porto, porto, portugal",27.0
183,9724131009,7,"porto, porto, portugal",27.0
183,9724206378,0,"porto, porto, portugal",27.0
183,9724502023,9,"porto, porto, portugal",27.0
183,9724508552,8,"porto, porto, portugal",27.0
183,9724509524,8,"porto, porto, portugal",27.0
183,97245146089,9,"porto, porto, portugal",27.0
183,972568440X,0,"porto, porto, portugal",27.0
183,9726080630,10,"porto, porto, portugal",27.0
183,972608122X,0,"porto, porto, portugal",27.0
183,9726081327,8,"porto, porto, portugal",27.0
183,9726081378,9,"porto, porto, portugal",27.0
183,9726081424,9,"porto, porto, portugal",27.0
183,9726101034,7,"porto, porto, portugal",27.0
183,9726116384,0,"porto, porto, portugal",27.0
183,9726593855,9,"porto, porto, portugal",27.0
183,9726621445,0,"porto, porto, portugal",27.0
183,9726621720,0,"porto, porto, portugal",27.0
183,9726626536,0,"porto, porto, portugal",27.0
183,9726650178,0,"porto, porto, portugal",27.0
183,9726652499,0,"porto, porto, portugal",27.0
183,9726653525,9,"porto, porto, portugal",27.0
183,9726953308,0,"porto, porto, portugal",27.0
183,9726991366,8,"porto, porto, portugal",27.0
183,9726993474,8,"porto, porto, portugal",27.0
183,9727086179,0,"porto, porto, portugal",27.0
183,972708673X,0,"porto, porto, portugal",27.0
183,9727100112,9,"porto, porto, portugal",27.0
183,9727110541,8,"porto, porto, portugal",27.0
183,9727112145,0,"porto, porto, portugal",27.0
183,9727474381,0,"porto, porto, portugal",27.0
183,9727474810,0,"porto, porto, portugal",27.0
183,972795023X,0,"porto, porto, portugal",27.0
183,9728305729,8,"porto, porto, portugal",27.0
183,9728313039,8,"porto, porto, portugal",27.0
183,9728351380,0,"porto, porto, portugal",27.0
183,9728416008,0,"porto, porto, portugal",27.0
183,9728440006,8,"porto, porto, portugal",27.0
183,9728440030,9,"porto, porto, portugal",27.0
183,9728440057,7,"porto, porto, portugal",27.0
183,9728440138,9,"porto, porto, portugal",27.0
183,9728440170,9,"porto, porto, portugal",27.0
183,9728440200,9,"porto, porto, portugal",27.0
183,9728440324,9,"porto, porto, portugal",27.0
183,9728440383,8,"porto, porto, portugal",27.0
183,9728440405,9,"porto, porto, portugal",27.0
183,9728440456,7,"porto, porto, portugal",27.0
183,9728440642,9,"porto, porto, portugal",27.0
183,9728440693,7,"porto, porto, portugal",27.0
183,9728440804,9,"porto, porto, portugal",27.0
183,9728487002,10,"porto, porto, portugal",27.0
183,9728487142,10,"porto, porto, portugal",27.0
183,9728487150,8,"porto, porto, portugal",27.0
183,9728487266,6,"porto, porto, portugal",27.0
183,9728487304,6,"porto, porto, portugal",27.0
183,9728487355,7,"porto, porto, portugal",27.0
183,9728487576,6,"porto, porto, portugal",27.0
183,9728487606,6,"porto, porto, portugal",27.0
183,9728487614,8,"porto, porto, portugal",27.0
183,9728515227,9,"porto, porto, portugal",27.0
183,9729720495,9,"porto, porto, portugal",27.0
183,972975831X,7,"porto, porto, portugal",27.0
183,9729817715,6,"porto, porto, portugal",27.0
183,9729852405,8,"porto, porto, portugal",27.0
183,9748440537,8,"porto, porto, portugal",27.0
